YMD,roadname,diretion,timezone,carValume,weekday,rain
20160411,堤頂大道,往南,下午尖峰,14200.307373,1,0
20160412,堤頂大道,往南,下午尖峰,14295.777832,2,36
20160413,堤頂大道,往南,下午尖峰,14295.777832,2,9
20160414,堤頂大道,往南,下午尖峰,12917.4819183,4,34
20160415,堤頂大道,往南,下午尖峰,13260.3335114,5,4
20160418,堤頂大道,往南,下午尖峰,13666.5925903,1,3
20160419,堤頂大道,往南,下午尖峰,13349.4997559,2,37
20160420,堤頂大道,往南,下午尖峰,14141.3389282,3,45
20160421,堤頂大道,往南,下午尖峰,13567.1939697,4,0
20160422,堤頂大道,往南,下午尖峰,14041.8690796,5,0
20160425,堤頂大道,往南,下午尖峰,15259.166626,1,83
20160426,堤頂大道,往南,下午尖峰,13796.5908813,2,22
20160428,堤頂大道,往南,下午尖峰,13963.25,4,0
20160505,堤頂大道,往南,下午尖峰,7601.67041016,4,0
20160506,堤頂大道,往南,下午尖峰,10064.0861816,5,2
20160509,堤頂大道,往南,下午尖峰,9842.66943359,1,0
20160510,堤頂大道,往南,下午尖峰,9076.22216797,2,0
20160511,堤頂大道,往南,下午尖峰,10664.5344238,3,5
20160512,堤頂大道,往南,下午尖峰,9720.1315918,4,0
20160513,堤頂大道,往南,下午尖峰,9595.5213623,5,6
20160516,堤頂大道,往南,下午尖峰,9718.60339355,1,0
20160517,堤頂大道,往南,下午尖峰,9675.20690918,2,37
20160518,堤頂大道,往南,下午尖峰,9464.46606445,3,60
20160519,堤頂大道,往南,下午尖峰,9319.05090332,4,1
20160520,堤頂大道,往南,下午尖峰,9456.05175781,5,0
20160523,堤頂大道,往南,下午尖峰,8668.5357666,1,7
20160524,堤頂大道,往南,下午尖峰,9529.98834229,2,1
20160525,堤頂大道,往南,下午尖峰,9312.11022949,3,0
20160526,堤頂大道,往南,下午尖峰,9362.70336914,4,0
20160527,堤頂大道,往南,下午尖峰,7502.48303223,5,23
20160530,堤頂大道,往南,下午尖峰,9248.9642334,1,0
20160531,堤頂大道,往南,下午尖峰,8303.99151611,2,0
20160601,堤頂大道,往南,下午尖峰,9258.5,3,0
20160602,堤頂大道,往南,下午尖峰,7862.97131348,4,36
20160603,堤頂大道,往南,下午尖峰,9345.33862305,5,9
20160606,堤頂大道,往南,下午尖峰,8983.39624023,1,34
20160607,堤頂大道,往南,下午尖峰,9202.55615234,2,4
20160610,堤頂大道,往南,下午尖峰,6416.43212891,5,3
20160613,堤頂大道,往南,下午尖峰,9221.6282959,1,37
20160614,堤頂大道,往南,下午尖峰,7100.63586426,2,45
20160615,堤頂大道,往南,下午尖峰,9834.19287109,3,0
20160616,堤頂大道,往南,下午尖峰,9631.4118042,4,0
20160617,堤頂大道,往南,下午尖峰,7479.86367798,5,83
20160618,堤頂大道,往南,下午尖峰,6529.72729492,6,22
20160619,堤頂大道,往南,下午尖峰,7649.722229,7,0
20160620,堤頂大道,往南,下午尖峰,9350.46289062,1,0
20160621,堤頂大道,往南,下午尖峰,8865.51074219,2,2
20160622,堤頂大道,往南,下午尖峰,8983.48071289,3,0
20160623,堤頂大道,往南,下午尖峰,9564.07592773,4,0
20160624,堤頂大道,往南,下午尖峰,9648.52307129,5,5
20160625,堤頂大道,往南,下午尖峰,7545.36352539,6,0
20160626,堤頂大道,往南,下午尖峰,6508.46148682,7,6
20160627,堤頂大道,往南,下午尖峰,8594.44732666,1,0
20160628,堤頂大道,往南,下午尖峰,9389.25927734,2,37
20160629,堤頂大道,往南,下午尖峰,8796.16357422,3,60
20160630,堤頂大道,往南,下午尖峰,10003.0718384,4,1
20160706,堤頂大道,往南,下午尖峰,9275.87701416,3,0
20160707,堤頂大道,往南,下午尖峰,9008.55426025,4,15
20160710,堤頂大道,往南,下午尖峰,5525.09094238,7,44
20160711,堤頂大道,往南,下午尖峰,8406.34985352,1,7
20160712,堤頂大道,往南,下午尖峰,9938.63598633,2,3
20160713,堤頂大道,往南,下午尖峰,10021.0656128,3,0
20160714,堤頂大道,往南,下午尖峰,9589.69702148,4,0
20160715,堤頂大道,往南,下午尖峰,9605.57556152,5,0
20160716,堤頂大道,往南,下午尖峰,7532.03393555,6,0
20160717,堤頂大道,往南,下午尖峰,6869.5847168,7,2
20160718,堤頂大道,往南,下午尖峰,6951.36352539,7,22
20160719,堤頂大道,往南,下午尖峰,9304.57366943,2.0,5
20160720,堤頂大道,往南,下午尖峰,9285.40045166,3,16
20160721,堤頂大道,往南,下午尖峰,9143.10827637,4,0
20160722,堤頂大道,往南,下午尖峰,9427.29431152,5,0
20160723,堤頂大道,往南,下午尖峰,7121.70336914,6,0
20160724,堤頂大道,往南,下午尖峰,6928.0,7,0
20160725,堤頂大道,往南,下午尖峰,9370.11328125,1,0
20160726,堤頂大道,往南,下午尖峰,9045.9609375,2,0
20160727,堤頂大道,往南,下午尖峰,9701.97094727,3,0
20160728,堤頂大道,往南,下午尖峰,9274.00793457,4,0
20160729,堤頂大道,往南,下午尖峰,10032.6314697,5,0
20160730,堤頂大道,往南,下午尖峰,7950.0,6,0
20160731,堤頂大道,往南,下午尖峰,5295.77587891,7,0
20160801,堤頂大道,往南,下午尖峰,10175.1586914,1,1
20160802,堤頂大道,往南,下午尖峰,9985.62677002,2,0
20160803,堤頂大道,往南,下午尖峰,9867.95385742,3,0
20160804,堤頂大道,往南,下午尖峰,9966.22967529,4,0
20160805,堤頂大道,往南,下午尖峰,9779.0994873,5,0
20160807,堤頂大道,往南,下午尖峰,7160.94262695,7,15
20160810,堤頂大道,往南,下午尖峰,9016.44281006,3,9
20160811,堤頂大道,往南,下午尖峰,10266.7103271,4,26
20160812,堤頂大道,往南,下午尖峰,9993.30145264,5,0
20160813,堤頂大道,往南,下午尖峰,8075.5,6,6
20160814,堤頂大道,往南,下午尖峰,7172.73358154,7,0
20160815,堤頂大道,往南,下午尖峰,9989.40979004,1,0
20160816,堤頂大道,往南,下午尖峰,10072.4451904,2,0
20160817,堤頂大道,往南,下午尖峰,10125.993042,3,0
20160818,堤頂大道,往南,下午尖峰,10251.2059326,4,20
20160819,堤頂大道,往南,下午尖峰,10206.7750244,5,2
20160820,堤頂大道,往南,下午尖峰,8014.74572754,6,0
20160821,堤頂大道,往南,下午尖峰,7147.15429688,7,0
20160822,堤頂大道,往南,下午尖峰,8528.50109863,1,0
20160823,堤頂大道,往南,下午尖峰,12534.2172241,2,1
20160824,堤頂大道,往南,下午尖峰,8114.38891602,3,0
20160825,堤頂大道,往南,下午尖峰,10076.4022217,4,0
20160826,堤頂大道,往南,下午尖峰,10745.7282715,5,0
20160827,堤頂大道,往南,下午尖峰,8573.77954102,6,36
20160828,堤頂大道,往南,下午尖峰,8373.94915771,7,15
20160829,堤頂大道,往南,下午尖峰,11672.1971436,1,0
20160830,堤頂大道,往南,下午尖峰,11708.3687744,2,0
20160831,堤頂大道,往南,下午尖峰,11315.1794434,3,0
20160901,堤頂大道,往南,下午尖峰,11566.1877441,4,0
20160902,堤頂大道,往南,下午尖峰,10097.4868774,5,12
20160903,堤頂大道,往南,下午尖峰,9181.88134766,6,2
20160904,堤頂大道,往南,下午尖峰,8454.22045898,7,1
20160905,堤頂大道,往南,下午尖峰,11588.0351562,1,1
20160906,堤頂大道,往南,下午尖峰,11624.8692627,2,5
20160907,堤頂大道,往南,下午尖峰,12012.0479736,3,2
20160910,堤頂大道,往南,下午尖峰,10628.4909668,6,35
20160911,堤頂大道,往南,下午尖峰,8090.36712646,7,0
20160912,堤頂大道,往南,下午尖峰,11238.1400146,1,6
20160913,堤頂大道,往南,下午尖峰,12054.2290039,2,2
20160914,堤頂大道,往南,下午尖峰,11605.1781616,3,19
20160915,堤頂大道,往南,下午尖峰,6490.99038696,4,1
20160916,堤頂大道,往南,下午尖峰,7208.69049072,5,1
20160917,堤頂大道,往南,下午尖峰,4323.79089355,6,65
20160918,堤頂大道,往南,下午尖峰,7083.15527344,7,29
